としのうちに,はるはきにけり,ひととせを,こそとやいはむ,ことしとやいはむ
そてひちて,むすひしみつの,こほれるを,はるたつけふの,かせやとくらむ
はるかすみ,たてるやいつこ,みよしのの,よしののやまに,ゆきはふりつつ
ゆきのうちに,はるはきにけり,うくひすの,こほれるなみた,いまやとくらむ
うめかえに,きゐるうくひす,はるかけて,なけともいまた,ゆきはふりつつ
はるたては,はなとやみらむ,しらゆきの,かかれるえたに,うくひすそなく
こころさし,ふかくそめてし,をりけれは,きえあへぬゆきの,はなとみゆらむ
はるのひの,ひかりにあたる,われなれと,かしらのゆきと,なるそわひしき
かすみたち,このめもはるの,ゆきふれは,はななきさとも,はなそちりける
はるやとき,はなやおそきと,ききわかむ,うくひすたにも,なかすもあるかな
はるきぬと,ひとはいへとも,うくひすの,なかぬかきりは,あらしとそおもふ
たにかせに,とくるこほりの,ひまことに,うちいつるなみや,はるのはつはな
はなのかを,かせのたよりに,たくへてそ,うくひすさそふ,しるへにはやる
うくひすの,たによりいつる,こゑなくは,はるくることを,たれかしらまし
はるたてと,はなもにほはぬ,やまさとは,ものうかるねに,うくひすそなく
のへちかく,いへゐしせれは,うくひすの,なくなるこゑは,あさなあさなきく
かすかのは,けふはなやきそ,わかくさの,つまもこもれり,われもこもれり
かすかのの,とふひののもり,いててみよ,いまいくかありて,わかなつみてむ
みやまには,まつのゆきたに,きえなくに,みやこはのへの,わかなつみけり
あつさゆみ,おしてはるさめ,けふふりぬ,あすさへふらは,わかなつみてむ
きみかため,はるののにいてて,わかなつむ,わかころもてに,ゆきはふりつつ
かすかのの,わかなつみにや,しろたへの,そてふりはへて,ひとのゆくらむ
はるのきる,かすみのころも,ぬきをうすみ,やまかせにこそ,みたるへらなれ
ときはなる,まつのみとりも,はるくれは,いまひとしほの,いろまさりけり
わかせこか,ころもはるさめ,ふることに,のへのみとりそ,いろまさりける
あをやきの,いとよりかくる,はるしもそ,みたれてはなの,ほころひにける
あさみとり,いとよりかけて,しらつゆを,たまにもぬける,はるのやなきか
ももちとり,さへつるはるは,ものことに,あらたまれとも,われそふりゆく
をちこちの,たつきもしらぬ,やまなかに,おほつかなくも,よふことりかな
はるくれは,かりかへるなり,しらくもの,みちゆきふりに,ことやつてまし
はるかすみ,たつをみすてて,ゆくかりは,はななきさとに,すみやならへる
をりつれは,そてこそにほへ,うめのはな,ありとやここに,うくひすのなく
いろよりも,かこそあはれと,おもほゆれ,たかそてふれし,やとのうめそも
やとちかく,うめのはなうゑし,あちきなく,まつひとのかに,あやまたれけり
うめのはな,たちよるはかり,ありしより,ひとのとかむる,かにそしみぬる
うくひすの,かさにぬふといふ,うめのはな,をりてかささむ,おいかくるやと
よそにのみ,あはれとそみし,うめのはな,あかぬいろかは,をりてなりけり
きみならて,たれにかみせむ,うめのはな,いろをもかをも,しるひとそしる
うめのはな,にほふはるへは,くらふやま,やみにこゆれと,しるくそありける
つきよには,それともみえす,うめのはな,かをたつねてそ,しるへかりける
はるのよの,やみはあやなし,うめのはな,いろこそみえね,かやはかくるる
ひとはいさ,こころもしらす,ふるさとは,はなそむかしの,かににほひける
はることに,なかるるかはを,はなとみて,をられぬみつに,そてやぬれなむ
としをへて,はなのかかみと,なるみつは,ちりかかるをや,くもるといふらむ
くるとあくと,めかれぬものを,うめのはな,いつのひとまに,うつろひぬらむ
うめかかを,そてにうつして,ととめては,はるはすくとも,かたみならまし
ちるとみて,あるへきものを,うめのはな,うたてにほひの,そてにとまれる
ちりぬとも,かをたにのこせ,うめのはな,こひしきときの,おもひいてにせむ
ことしより,はるしりそむる,さくらはな,ちるといふことは,ならはさらなむ
やまたかみ,ひともすさへぬ,さくらはな,いたくなわひそ,われみはやさむ
やまさくら,わかみにくれは,はるかすみ,みねにもをにも,たちかくしつつ
としふれは,よはひはおいぬ,しかはあれと,はなをしみれは,ものおもひもなし
よのなかに,たえてさくらの,なかりせは,はるのこころは,のとけからまし
いしはしる,たきなくもかな,さくらはな,たをりてもこむ,みぬひとのため
みてのみや,ひとにかたらむ,さくらはな,てことにをりて,いへつとにせむ
みわたせは,やなきさくらを,こきませて,みやこそはるの,にしきなりける
いろもかも,おなしむかしに,さくらめと,としふるひとそ,あらたまりける
たれしかも,とめてをりつる,はるかすみ,たちかくすらむ,やまのさくらを
さくらはな,さきにけらしな,あしひきの,やまのかひより,みゆるしらくも
みよしのの,やまへにさける,さくらはな,ゆきかとのみそ,あやまたれける
さくらはな,はるくははれる,としたにも,ひとのこころに,あかれやはせぬ
あたなりと,なにこそたてれ,さくらはな,としにまれなる,ひともまちけり
けふこすは,あすはゆきとそ,ふりなまし,きえすはありとも,はなとみましや
ちりぬれは,こふれとしるし,なきものを,けふこそさくら,をらはをりてめ
をりとらは,をしけにもあるか,さくらはな,いさやとかりて,ちるまてはみむ
さくらいろに,ころもはふかく,そめてきむ,はなのちりなむ,のちのかたみに
わかやとの,はなみかてらに,くるひとは,ちりなむのちそ,こひしかるへき
みるひとも,なきやまさとの,さくらはな,ほかのちりなむ,のちそさかまし
はるかすみ,たなひくやまの,さくらはな,うつろはむとや,いろかはりゆく
まてといふに,ちらてしとまる,ものならは,なにをさくらに,おもひまさまし
のこりなく,ちるそめてたき,さくらはな,ありてよのなか,はてのうけれは
このさとに,たひねしぬへし,さくらはな,ちりのまかひに,いへちわすれて
うつせみの,よにもにたるか,はなさくら,さくとみしまに,かつちりにけり
さくらはな,ちらはちらなむ,ちらすとて,ふるさとひとの,きてもみなくに
さくらちる,はなのところは,はるなから,ゆきそふりつつ,きえかてにする
はなちらす,かせのやとりは,たれかしる,われにをしへよ,ゆきてうらみむ
いささくら,われもちりなむ,ひとさかり,ありなはひとに,うきめみえなむ
ひとめみし,きみもやくると,さくらはな,けふはまちみて,ちらはちらなむ
はるかすみ,なにかくすらむ,さくらはな,ちるまをたにも,みるへきものを
たれこめて,はるのゆくへも,しらぬまに,まちしさくらも,うつろひにけり
えたよりも,あたにちりにし,はななれは,おちてもみつの,あわとこそなれ
ことならは,さかすやはあらぬ,さくらはな,みるわれさへに,しつこころなし
さくらはな,とくちりぬとも,おもほえす,ひとのこころそ,かせもふきあへぬ
ひさかたの,ひかりのとけき,はるのひに,しつこころなく,はなのちるらむ
はるかせは,はなのあたりを,よきてふけ,こころつからや,うつろふとみむ
ゆきとのみ,ふるたにあるを,さくらはな,いかにちれとか,かせのふくらむ
やまたかみ,みつつわかこし,さくらはな,かせはこころに,まかすへらなり
はるさめの,ふるはなみたか,さくらはな,ちるををしまぬ,ひとしなけれは
さくらはな,ちりぬるかせの,なこりには,みつなきそらに,なみそたちける
ふるさとと,なりにしならの,みやこにも,いろはかはらす,はなはさきけり
