ふるゆきの,みのしろころも,うちきつつ,はるきにけりと,おとろかれぬる
はるたつと,ききつるからに,かすかやま,きえあへぬゆきの,はなとみゆらむ
けふよりは,をきのやけはら,かきわけて,わかなつみにと,たれをさそはむ
しらくもの,うへしるけふそ,はるさめの,ふるにかひある,みとはしりぬる
まつもひき,わかなもつます,なりぬるを,いつしかさくら,はやもさかなむ
まつにくる,ひとしなけれは,はるののの,わかなもなにも,かひなかりけり
きみのみや,のへにこまつを,ひきにゆく,われもかたみに,つまむわかなを
かすみたつ,かすかののへの,わかなにも,なりみてしかな,ひともつむやと
はるののに,こころをたにも,やらぬみは,わかなはつまて,としをこそつめ
ふるさとの,のへみにゆくと,いふめるを,いさもろともに,わかなつみてむ
みつのおもに,あやふきみたる,はるかせや,いけのこほりを,けふはとくらむ
ふくかせや,はるたちきぬと,つけつらむ,えたにこもれる,はなさきにけり
かすかのに,おふるわかなを,みてしより,こころをつねに,おもひやるかな
もえいつる,このめをみても,ねをそなく,かれにしえたの,はるをしらねは
いつのまに,かすみたつらむ,かすかのの,ゆきたにとけぬ,ふゆとみしまに
なほさりに,をりつるものを,うめのはな,こきかにわれや,ころもそめてむ
やとちかく,うつしてうゑし,かひもなく,まちとほにのみ,にほふはなかな
はるかすみ,たなひきにけり,ひさかたの,つきのかつらも,はなやさくらむ
いつことも,はなのひかりは,わかなくに,またみよしのの,やまはゆきふる
しらたまを,つつむそてのみ,なかるるは,はるはなみたも,さえぬなりけり
はるたちて,わかみふりぬる,なかめには,ひとのこころの,はなもちりけり
わかせこに,みせむとおもひし,うめのはな,それともみえす,ゆきのふれれは
きてみへき,ひともあらしな,わかやとの,うめのはつはな,をりつくしてむ
ことならは,をりつくしてむ,うめのはな,わかまつひとの,きてもみなくに
ふくかせに,ちらすもあらなむ,うめのはな,わかかりころも,ひとよやとさむ
わかやとの,うめのはつはな,ひるはゆき,よるはつきとも,みえまかふかな
うめのはな,よそなからみむ,わきもこか,とかむはかりの,かにもこそしめ
うめのはな,をれはこほれぬ,わかそてに,にほひかうつせ,いへつとにせむ
こころもて,をるかはあやな,うめのはな,かをとめてたに,とふひとのなき
ひとこころ,うさこそまされ,はるたては,とまらすきゆる,ゆきかくれなむ
うめのはな,かをふきかくる,はるかせに,こころをそめは,ひとやとかめむ
はるさめの,ふらはのやまに,ましりなむ,うめのはなかさ,ありといふなり
かきくらし,ゆきはふりつつ,しかすかに,わかいへのそのに,うくひすそなく
たにさむみ,いまたすたたぬ,うくひすの,なくこゑわかみ,ひとのすさへぬ
