いかにねて,おくるあしたに,いふことそ,きのふをこそと,けふをことしと
いててみよ,いまはかすみも,たちぬらむ,はるはこれより,すくとこそきけ
あつまちは,なこそのせきも,あるものを,いかてかはるの,こえてきつらむ
あふさかの,せきをやはるも,こえつらむ,おとはのやまの,けさはかすめる
はるのくる,みちのしるへは,みよしのの,やまにたなひく,かすみなりけり
ひとしれす,いりぬとおもひし,かひもなく,としもやまちを,こゆるなりけり
ゆきふりて,みちふみまとふ,やまさとに,いかにしてかは,はるのきつらむ
あたらしき,はるはくれとも,みにとまる,としはかへらぬ,ものにそありける
たつのすむ,さはへのあしの,したねとけ,みきはもえいつる,はるはきにけり
みよしのは,はるのけしきに,かすめとも,むすほほれたる,ゆきのしたくさ
たにかはの,こほりもいまた,きえあへぬに,みねのかすみは,たなひきにけり
はることに,のへのけしきの,かはらぬは,おなしかすみや,たちかへるらむ
はるかすみ,たつやおそきと,やまかはの,いはまをくくる,おときこゆなり
むらさきの,そてをつらねて,きたるかな,はるたつことは,これそうれしき
むれてくる,おほみやひとは,はるをへて,かはらすなから,めつらしきかな
むらさきも,あけもみとりも,うれしきは,はるのはしめに,きたるなりけり
きみませと,やりつるつかひ,きにけらし,のへのききすは,とりやしつらむ
はるたちて,ふるしらゆきを,うくひすの,はなちりぬとや,いそきいつらむ
やまたかみ,ゆきふるすより,うくひすの,いつるはつねは,けふそなくなる
ふるさとへ,ゆくひとあらは,ことつてむ,けふうくひすの,はつねききつと
ふりつもる,ゆききえかたき,やまさとに,はるをしらする,うくひすのこゑ
うくひすの,なくねはかりそ,きこえける,はるのいたらぬ,ひとのやとにも
たつねつる,やとはかすみに,うつもれて,たにのうくひす,ひとこゑそする
ちとせへむ,やとのねのひの,まつをこそ,ほかのためしに,ひかむとすらめ
ひきつれて,けふはねのひの,まつにまた,いまちとせをそ,のへにいてつる
はるののに,いてぬねのひは,もろひとの,こころはかりを,やるにそありける
けふはきみ,いかなるのへに,ねのひして,ひとのまつをは,しらぬなるらむ
そてかけて,ひきそやられぬ,こまつはら,いつれともなき,ちよのけしきに
とまりにし,ねのひのまつを,けふよりは,ひかぬためしに,ひかるへきかな
あさみとり,のへのかすみの,たなひくに,けふのこまつを,まかせつるかな
きみかよに,ひきくらふれは,ねのひする,まつのちとせも,かすならぬかな
ひとはみな,のへのこまつを,ひきにゆく,けさのわかなは,ゆきやつむらむ
うつゑつき,つままほしきは,たまさかに,きみかとふひの,わかななりけり
