こほりゐし,しかのからさき,うちとけて,ささなみよする,はるかせそふく
きのふかも,あられふりしは,しからきの,とやまのかすみ,はるめきにけり
ふるさとは,はるめきにけり,みよしのの,みかきかはらを,かすみこめたり
たまさかに,わかまちえたる,うくひすの,はつねをあやな,ひとやきくらむ
ゆききえは,ゑくのわかなも,つむへきに,はるさへはれぬ,みやまへのさと
かすかのに,あさなくきしの,はねおとは,ゆきのきえまに,わかなつめとや
よろつよの,ためしにきみか,ひかるれは,ねのひのまつも,うらやみやせむ
ねのひすと,はるののことに,たつぬれは,まつにひかるる,ここちこそすれ
ふきくれは,かをなつかしみ,うめのはな,ちらさぬほとの,はるかせもかな
うめのはな,にほひをみちの,しるへにて,あるしもしらぬ,やとにきにけり
とりつなく,ひともなきのの,はるこまは,かすみにのみや,たなひかるらむ
まこもくさ,つのくみわたる,さはへには,つなかぬこまも,はなれさりけり
もえいつる,くさはのみかは,をかさはら,こまのけしきも,はるめきにけり
さほひめの,いとそめかくる,あをやきを,ふきなみたりそ,はるのやまかせ
いかなれは,こほりはとくる,はるかせに,むすほほるらむ,あをやきのいと
ふるさとの,みかきのやなき,はるはると,たかそめかけし,あさみとりそも
みやまきの,そのこすゑとも,みえさりし,さくらははなに,あらはれにけり
くれなゐの,うすはなさくら,にほはすは,みなしらくもと,みてやすきまし
しらくもは,たちへたつれと,くれなゐの,うすはなさくら,こころにそそむ
しらくもは,さもたたはたて,くれなゐの,いまひとしほを,きみしそむれは
あさまたき,かすみなこめそ,やまさくら,たつねゆくまの,よそめにもみむ
しらくもと,みゆるにしるし,みよしのの,よしののやまの,はなさかりかも
やまさくら,をしむにとまる,ものならは,はなははるとも,かきらさらまし
ここのへに,たつしらくもと,みえつるは,おほうちやまの,さくらなりけり
はることに,こころをそらに,なすものは,くもゐにみゆる,さくらなりけり
しらかはの,はるのこすゑを,みわたせは,まつこそはなの,たえまなりけれ
はるくれは,はなのこすゑに,さそはれて,いたらぬさとの,なかりつるかな
いけみつの,みきはならすは,さくらはな,かけをもなみに,をられましやは
いにしへの,ならのみやこの,やへさくら,けふここのへに,にほひぬるかな
ふるさとに,とふひとあらは,やまさくら,ちりなむのちを,まてとこたへよ
さくらはな,てことにをりて,かへるをは,はるのゆくとや,ひとはみるらむ
はることに,みるはななれと,ことしより,さきはしめたる,ここちこそすれ
ふるさとの,はなのにほひや,まさるらむ,しつこころなく,かへるかりかな
なかなかに,ちるをみしとや,おもふらむ,はなのさかりに,かへるかりかね
さくらはな,ちらさてちよも,みてしかな,あかぬこころは,さてもありやと
さくらはな,かせにしちらぬ,ものならは,おもふことなき,はるにそあらまし
さくらはな,ちりしくにはを,はらはねは,きえせぬゆきと,なりにけるかな
はくひとも,なきふるさとの,にはのおもは,はなちりてこそ,みるへかりけれ
さくらさく,このしたみつは,あさけれと,ちりしくはなの,ふちとこそなれ
ちるはなも,あはれとみすや,いそのかみ,ふりはつるまて,をしむこころを
わかやとの,さくらなれとも,ちるときは,こころにえこそ,まかせさりけれ
みにかへて,をしむにとまる,はなならは,けふやわかよの,かきりならまし
にはもせに,つもれるゆきと,みえなから,かをるそはなの,しるしなりける
ちるはなに,せきとめらるる,やまかはの,ふかくもはるの,なりにけるかな
ひとへたに,あかぬにほひを,いととしく,やへかさなれる,やまふきのはな
やへさける,かひこそなけれ,やまふきの,ちらはひとへも,あらしとおもへは
こぬひとを,まちかねやまの,よふことり,おなしこころに,あはれとそきく
さきしより,ちりはつるまて,みしほとに,はなのもとにて,はつかへにけり
おいてこそ,はるのをしさは,まさりけれ,いまいくたひも,あはしとおもへは
をしむとて,こよひかきおく,ことのはや,あやなくはるの,かたみなるへき
けふよりは,たつなつころも,うすくとも,あつしとのみや,おもひわたらむ
ゆきのいろを,ぬすみてさける,うのはなは,さえてやひとに,うたかはるらむ
としをへて,かけしあふひは,かはらねと,けふのかさしは,めつらしきかな
さかきとる,なつのやまちや,とほからむ,ゆふかけてのみ,まつるかみかな
むかしにも,あらぬわかみに,ほとときす,まつこころこそ,かはらさりけれ
ほとときす,なくねならては,よのなかに,まつこともなき,わかみなりけり
ことしたに,まつはつこゑを,ほとときす,よにはふるさて,われにきかせよ
やまさとの,かひこそなけれ,ほとときす,みやこのひとも,かくやまつらむ
やまひこの,こたふるやまの,ほとときす,ひとこゑなけは,ふたこゑそきく
ほとときす,あかつきかけて,なくこゑを,またぬねさめの,ひとやきくらむ
まつひとは,ぬるよもなきを,ほとときす,なくねはゆめの,ここちこそすれ
なきつとも,たれにかいはむ,ほとときす,かけよりほかに,ひとしなけれは
こやのいけに,おふるあやめの,なかきねは,ひくしらいとの,ここちこそすれ
よもすから,たたくくひなは,あまのとを,あけてのちこそ,おとせさりけれ
さみたれの,ひをふるままに,すすかかは,やそせのなみそ,こゑまさるなる
わきもこか,こやのしのやの,さみたれに,いかてほすらむ,なつひきのいと
さみたれに,なにはほりえの,みをつくし,みえぬやみつの,まさるなるらむ
もしほやく,すまのうらひと,うちたえて,いとひやすらむ,さみたれのそら
さつきやみ,はなたちはなに,ふくかせは,たかさとまてか,にほひゆくらむ
やとちかく,はなたちはなは,ほりうゑし,むかしをしのふ,つまとなりけり
うすくこく,かきほににほふ,なてしこの,はなのいろにそ,つゆもおきける
たねまきし,わかなてしこの,はなさかり,いくあさつゆの,おきてみつらむ
なくこゑも,きこえぬものの,かなしきは,しのひにもゆる,ほたるなりけり
さつきやみ,うかはにともす,かかりひの,かすますものは,ほたるなりけり
かせふけは,かはへすすしく,よるなみの,たちかへるへき,ここちこそせね
そまかはの,いかたのとこの,うきまくら,なつはすすしき,ふしとなりけり
まつほとに,なつのよいたく,ふけぬれは,をしみもあへぬ,やまのはのつき
かはかみに,ゆふたちすらし,みくつせく,やなせのさなみ,たちさわくなり
つねよりも,なけきやすらむ,たなはたは,あはましくれを,よそになかめて
したもみち,ひとはつつちる,このしたに,あきとおほゆる,せみのこゑかな
むしのねも,またうちとけぬ,くさむらに,あきをかねても,むすふつゆかな
やましろの,とはたのおもを,みわたせは,ほのかにけさそ,あきかせはふく
きみすまは,とはましものを,つのくにの,いくたのもりの,あきのはつかせ
はきのはに,すかくいとをも,ささかには,たなはたにとや,けさはひくらむ
たなはたに,ころももぬきて,かすへきに,ゆゆしとやみむ,すみそめのそて
たなはたに,こころはかすと,おもはねと,くれゆくそらは,うれしかりけり
いかなれは,とたえそめけむ,あまのかは,あふせにわたす,かささきのはし
