あらたまの,としもかはらて,たつはるは,かすみはかりそ,そらにしりける
あまのとの,あくるけしきも,しつかにて,くもゐよりこそ,はるはたちけれ
けふしもあれ,みゆきしふれは,くさもきも,はるてふなへに,はなそさきける
ふゆすきて,はるはきぬらし,あさひさす,かすかのやまに,かすみたなひく
ひさかたの,あまのかくやま,このゆふへ,かすみたなひく,はるたつらしも
いつしかと,けふふりそむる,はるさめに,いろつきわたる,のへのわかくさ
わかやとの,かきねのくさの,あさみとり,ふるはるさめそ,いろはそめける
とふひとも,なきやとなれと,くるはるは,やへむくらにも,さはらさりけり
うくひすの,なきつるなへに,わかやとの,かきねのゆきは,むらきえにけり
はるそとは,かすみにしるし,うくひすは,はなのありかを,そことつけなむ
しもかれは,あらはにみえし,あしのやの,こやのへたては,かすみなりけり
まつしまや,をしまかさきの,ゆふかすみ,たなひきわたせ,あまのたくなは
あさとあけて,ふしみのさとに,なかむれは,かすみにむせふ,うちのかはなみ
すみよしの,まつのあらしも,かすむなり,とほさとをのの,はるのあけほの
やまのはも,そらもひとつに,みゆるかな,これやかすめる,はるのあけほの
にほのうみや,かすみのをちに,こくふねの,まほにもはるの,けしきなるかな
つきならて,なかむるものは,やまのはに,よこくもわたる,はるのあけほの
さほひめの,おもかけさらす,おるはたの,かすみたちきる,はるののへかな
このめはる,はるのやまへを,きてみれは,かすみのころも,たたぬひそなき
まきもくの,あなしのひはら,はるくれは,はなかゆきかと,みゆるゆふして
あさなきに,さをさすよとの,かはをさも,こころとけては,はるそみなるる
やまもとに,ゆきはふりつつ,しかすかに,このかはやなき,もえにけるかも
あをやきの,えたにかかれる,はるさめは,いともてぬける,たまかとそみる
あさみとり,そめてみたるる,あをやきの,いとをははるの,かせやよるらむ
ふくかせに,みたれぬきしの,あをやきは,いととなみさへ,よれはなりけり
ももしきや,おほみやひとの,たまかつら,かけてそなひく,あをやきのいと
おしなへて,このめもいまは,はるかせの,ふくかたみゆる,あをやきのいと
うちはへて,よははるならし,ふくかせも,えたをならさぬ,あをやきのいと
やまひめの,としのをなかく,よりかけて,はるはたえせぬ,あをやきのいと
みふゆつき,はるしきぬれは,あをやきの,かつらきやまに,かすみたなひく
このねぬる,あさけのかせに,かをるなり,のきはのうめの,はるのはつはな
いとはやも,しもにかれにし,わかやとの,うめをわすれぬ,はるはきにけり
はるされは,まつさくやとの,うめのはな,ひとりみつつや,けふをくらさむ
いつれをか,わきてをらまし,うめのはな,えたもたわわに,ふれるしらゆき
やまかせに,かをたつねてや,うめのはな,にほへるさとに,うくひすのなく
きつつのみ,なくうくひすの,ふるさとは,ちりにしうめの,はなにそありける
たかかきね,そこともしらぬ,うめかかの,よはのまくらに,なれにけるかな
たまほこの,もちのゆくての,はるかせに,たかさとしらぬ,うめのかそする
