あらたまの,としはひとよの,へたてにて,けふよりはると,たつかすみかな
おしなへて,けさはかすみの,しきしまや,やまともろひと,はるをしるらし
はるたつと,そらにしるきは,かすかやま,みねのあさひの,けしきなりけり
あまのはら,かすみてかへる,あらたまの,としこそはるの,はしめなりけれ
ひさかたの,あまきるゆきの,ふりはへて,かすみもあへす,はるはきにけり
みゆきふる,をのへのかすみ,たちかへり,とほきやまへに,はるはきにけり
いまもなほ,ゆきはふりつつ,あさかすみ,たてるやいつこ,はるはきにけり
ふりつもる,まつのかれはの,ふかけれは,ゆきまもおそき,たにのかけくさ
しからきの,とやまのこすゑ,そらさえて,かすみにふれる,はるのしらゆき
かすめとも,またはるかせは,そらさえて,はなまちかほに,ふれるあはゆき
にはのおもは,つもりもやらす,かつきえて,そらにのみふる,はるのあはゆき
はるなれと,なほかせさゆる,やまかけに,こほりてのこる,こそのしらゆき
しらゆきは,ふるすなからも,うくひすの,なくねにはるや,あらたまるらむ
はるかせや,うめのにほひを,さそふらむ,ゆくへさためぬ,うくひすのこゑ
うめかえに,なくうくひすや,しるへして,はなのたよりに,ひとのとふらむ
をりてこそ,はなもわかるれ,うめかえに,おなしいろそふ,はるのあはゆき
さきにける,かきねのうめは,いろみえて,かつちるゆきに,はるかせそふく
はるかせや,なほさむからし,うめのはな,さきそふえたに,ゆきはふりつつ
けふはたた,おもひもよらて,かへりなむ,ゆきのふりつむ,のへのわかなを
きえなくに,またやみやまを,うつむらむ,わかなつむのも,あはゆきそふる
しろたへの,そてにそまかふ,みやこひと,わかなつむのの,はるのあはゆき
いそのかみ,ふるののさはの,あとしめて,はるやむかしと,わかなつみつつ
いまよりは,はるになりぬと,かけろふの,したもえいそく,のへのわかくさ
はるのきる,かすみのつまや,こもるらむ,またわかくさの,むさしののはら
たちなるる,とふひののもり,おのれさへ,かすみにたとる,はるのあけほの
かみよより,かすみもいくへ,へたてきぬ,やまたのはらの,はるのあけほの
あつさゆみ,やののかみやま,はるかけて,かすみはそらに,たなひきにけり
はるかなる,ふもとはそこと,みえわかて,かすみのうへに,のこるやまのは
くもゐより,のとかにかすむ,やまのはの,あらはれわたる,はるのあけほの
