さほひめの,かすみのころも,ふゆかけて,ゆきけのそらに,はるはきにけり
ふるゆきは,ことしもわかす,ひさかたの,そらにしられぬ,はるやきぬらむ
はるたつと,かすみにけりな,ひさかたの,あまのいはとの,あけほののそら
きのふまて,ふるさとちかく,みよしのの,やまもはるかに,かすむはるかな
いつしかと,かすまさりせは,おとはやま,おとはかりにや,はるをきかまし
いそのかみ,ふるのやまへも,はるきぬと,かすみやそらに,たちかへるらむ
ときわかぬ,あらしもなみも,いかなれは,けふあらたまの,はるをしるらむ
つららゐし,いはまのなみの,おとはかは,けさふくかせに,はるやたつらむ
はるやとき,かすみやおそき,けふもなほ,きのふのままの,みねのしらゆき
はるやとき,たにのうくひす,うちはふき,けふしらゆきの,ふるすいつなり
うちなひき,はるたちきぬと,うくひすの,またさとなれぬ,はつねなくなり
はるきぬと,たれかはつけし,かすかやま,きえあへぬゆきに,うくひすのなく
またさかぬ,のきはのうめに,うくひすの,こつたひちらす,はるのあはゆき
あさみとり,よものこすゑは,かすめとも,かくれぬものは,うくひすのこゑ
うくひすの,きなかさりせは,やまさとに,たれとかはるの,ひをくらさまし
まとちかき,たけのさえたに,きこゆなり,はなまつほとの,うくひすのこゑ
まつさける,はなとやいはむ,うちわたす,をちかたのへの,はるのあはゆき
はるくれは,ゆきともみえす,おほそらの,かすみをわけて,はなそちりける
たかさこの,をのへのかすみ,たちぬれと,なほふりつもる,まつのしらゆき
あまのはら,そらゆくかせの,なほさえて,かすみにこほる,はるのよのつき
やまかはに,ふゆのしからみ,かけとめて,なほかせさむく,こほるはるかな
うくひすの,なきにしひより,やまさとの,ゆきまのくさも,はるめきにけり
いまよりは,わかなつむへき,ふるさとの,みかきかはらに,ゆきはふりつつ
きえすとも,のはらのゆきを,ふみわけて,わかあとよりや,わかなつままし
わかなつむ,ころもてぬれて,かたをかの,あしたのはらに,あはゆきそふる
さとひとは,やまさはみつの,うすこほり,とけにしひより,わかなつみつつ
そてぬらす,のさはのみつに,かけみれは,ひとりはつまぬ,わかななりけり
いまははや,わかなつむらし,かけろふの,もゆるはるひの,のへのさとひと
かすみたち,このめはるさめ,きのふまて,ふるののわかな,けさはつみてむ
やまかせは,なほさむからし,みよしのの,よしののさとは,かすみそむれと
たちのほる,くももおよはぬ,ふしのねに,けふりをこめて,かすむはるかな
よそにみし,くももさなから,うつもれて,かすみそかかる,かつらきのやま
にほのうみや,かすみてくるる,はるのひに,わたるもとほし,せたのなかはし
なにはかた,つきのてしほの,ゆふなきに,はるのかすみの,かきりをそしる
なにはかた,かりふくあしの,やへかすみ,ひまこそなけれ,はるのあけほの
こきいつる,いりえのをふね,ほのほのと,なみまにかすむ,はるのあけほの
わたのはら,かすめるほとを,かきりにて,とほきなかめに,かかるしらなみ
おとはして,いさよふなみも,かすみけり,やそうちかはの,はるのあけほの
たをやめの,やなきのかつら,はるかけて,たまのかさしに,ぬけるしらつゆ
みねのゆきは,かすみもあへぬ,やまさとに,まつさくものと,にほふうめかえ
ここのへに,にほふとならは,うめのはな,やとのこすゑに,はるをしらせよ
うめのはな,にほふのへにて,けふくれぬ,やとのこすゑを,たれたつぬらむ
このもとは,やかてのきはに,ちかけれは,かせのさそはぬ,うめかかそする
さそはるる,ひとやなからむ,うめのはな,にほひはよその,しるへなりとも
をりてみる,いろよりもなほ,うめのはな,ふかくそそての,かはにほひける
をらはまた,にほひやちらむ,うめのはな,たちよりてこそ,そてにうつさめ
おもひたつ,ほとはくもゐに,ゆくかりの,ふるさととほく,かすむそらかな
かへるかり,こころのままに,すきぬなり,せきのほかなる,くものかよひち
わきてなほ,こしちのそらや,かすむらむ,かへるあとなき,はるのかりかね
みなひとの,いへちわするる,はなさかり,なそしもかへる,はるのかりかね
たをやめの,そてもほしあへす,あすかかせ,たたいたつらに,はるさめそふる
はるきても,たれかはとはむ,はなさかぬ,まきのをやまの,あけほののそら
はるかすみ,たつをみしより,みよしのの,やまのさくらを,またぬひはなし
よしのやま,ひとにこころを,つけかほに,はなよりさきに,かかるしらくも
けふもまた,はなまつほとの,なくさめに,なかめくらしつ,みねのしらくも
しつかなる,おいのこころの,なくさめに,ありしよりけに,はなそまたるる
おもひやれ,きみかためにと,まつはなの,さきもはてぬに,いそくこころを
あふことを,いそかさりせは,さきやらぬ,はなをはしはし,まちもしてまし
いつしかと,はなのしたひも,とけにけり,かすみのころも,たつとみしまに
やまさくら,はやさきにけり,かつらきや,かすみをかけて,にほふはるかせ
またれつる,をのへのさくら,いろみえて,かすみのまより,にほふしらくも
みかさやま,たかねのはなや,さきぬらむ,ふりさけみれは,かかるしらくも
おとはやま,はなさきぬらし,あふさかの,せきのこなたに,にほふはるかせ
けふもまた,おなしやまちに,たつねきて,きのふはさかぬ,はなをみるかな
をりしれは,こころやゆきて,なかむへき,くもゐるみねに,まちしさくらを
かよふらむ,こころのいろを,はなにみて,うらみもはてし,はるのやまさと
ちりなれし,こすゑはつらし,やまさくら,はるしりそむる,はなをたつねむ
なかむれは,よものしらくも,かくらくの,はつせのやまは,はなにほふらし
かつらきや,たかまのやまの,みねつつき,あさゐるくもや,さくらなるらむ
よしのやま,をのへのさくら,さきぬれは,たえすたなひく,はなのしらくも
