けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
にはもせに,ひきつらなれる,もろひとの,たちゐるけふや,ちよのはつはる
はるくれは,ほしのくらゐに,かけみえて,くもゐのはしに,いつるたをやめ
あつさゆみ,はるたつらしも,もののふの,やののかみやま,かすみたなひく
はるきぬと,おもひなしぬる,あさけより,そらもかすみの,いろになりゆく
はるかすみ,かすみなれたる,けしきかな,むつきもあさき,ひかすとおもふに
いつしかも,かすみにけらし,みよしのや,またふるとしの,ゆきもけなくに
よははやも,はるにしあれや,あしひきの,やまへのとけみ,かすみたなひく
とりのねも,のとけきやまの,あさあけに,かすみのいろは,はるめきにけり
かすしらす,ひけるねのひの,こまつかな,ひともとにたに,ちよはこもるを
きみかよを,のへにいててそ,いのりつる,はつねのまつの,すゑをはるかに
ねのひする,のへにこまつを,ひきつれて,かへるやまちに,うくひすそなく
けふよりは,きみにひかるる,ひめこまつ,いくよろつよか,はるにあふへき
よもすから,おもひやるかな,はるさめに,のへのわかなの,いかにもゆらむ
さとひとや,わかなつむらし,あさひさす,みかさののへは,はるめきにけり
ゆきませに,むらむらみえし,わかくさの,なへてみとりに,なりにけるかな
かすかのに,またうらわかき,さいたつま,つまこもるとも,いふひとやなき
のとかにも,やかてなりゆく,けしきかな,きのふのひかけ,けふのはるさめ
まきもくの,ひはらのやまの,ふもとまて,はるのかすみは,たなひきにけり
まつのゆき,きえぬやいつこ,はるのいろに,みやこののへは,かすみゆくころ
みわたせは,むらのあさけそ,かすみゆく,たみのかまとも,はるにあふころ
みねのゆき,たにのこほりも,とけなくに,みやこのかたは,かすみたなひく
なにはかた,いりえにたてる,みをつくし,かすむそはるの,しるしなりける
かすみゆく,なみちのふねも,ほのかなり,まつらかおきの,はるのあけほの
ももちとり,こゑのとかにて,をちこちの,やまはかすめる,はるのひくらし
よをこめて,かすみまちとる,やまのはに,よこくもしらて,あくるそらかな
かよふへき,なみまもみえす,あさほらけ,かすみにうつむ,しかのおほわた
はなおそき,とやまのはるの,あさほらけ,かすめるほかは,またいろもなし
さえかへり,やまかせあるる,ときはきに,ふりもたまらぬ,はるのあはゆき
うちきらし,なほふるゆきも,はるたつと,いふはかりにや,はなとみゆらむ
ひかけみぬ,みやまかくれに,なかれきて,ゆきけのみつの,またこほりぬる
あはゆきは,ふりもやまなむ,またきより,またるるはるの,ちるとまかふに
なほさゆる,あらしはゆきを,ふきませて,ゆふくれさむき,はるさめのそら
ゆきとみて,はなとやしらぬ,うくひすの,まつほとすきて,なかすもあるかな
うちなひき,はるたちぬらし,わかかとの,やなきのうれに,うくひすなきつ
としふれと,かはらぬものは,うくひすの,はるしりそむる,こゑにそありける
