いつるひの,おなしひかりに,わたつうみの,なみにもけふや,はるはたつらむ
をさまれる,みよのはしめに,たつはるは,くものうへこそ,のとかなりけれ
やまかはの,こほりもとけて,はるかせに,としたちかへる,みつのしらなみ
たちかへり,はるはきにけり,ささなみや,こほりふきとく,しかのうらかせ
あさひさす,かけものとかに,ひさかたの,そらよりはるの,いろやみゆらむ
みかさやま,さすやあさひの,まつのはに,かはらぬはるの,いろはみえけり
あらたまの,としのあけゆく,やまかつら,かすみをかけて,はるはきにけり
うくひすの,なくねややかて,つけつらむ,かすみのころも,はるきたりとは
はるのたつ,けふうくひすの,はつこゑを,なきてたれにと,まつきかすらむ
はるたちて,ねのひになれは,うちむれて,いつれのひとか,のへにこさらむ
やまさとは,たにのうくひす,うちはふき,ゆきよりいつる,こそのふるこゑ
かすかやま,みねのあさひの,はるのいろに,たにのうくひす,いまやいつらむ
たにふかき,ふるすをいつる,うくひすの,こゑきくときそ,はるはきにける
おしなへて,そらにしらるる,はるのいろを,おのかねのみと,うくひすそなく
いへゐして,ききそなれぬる,うめのはな,さけるをかへの,うくひすのこゑ
うくひすの,ふるすにたれか,ことつてし,うめさくやとを,わきてとへとは
けさみれは,はるきにけらし,わかやとの,かきねのうめに,うくひすのなく
うめかえに,なくうくひすの,こゑきけと,やまにはけふも,ゆきはふりつつ
ふるすをは,みやこのはるに,すみかへて,はなになれゆく,たにのうくひす
うめかえに,ふりつむゆきを,はらふには,あやなくはなの,ちりにけるかな
かすかのの,くさのはつかに,ゆききえて,またうらわかき,うくひすのこゑ
かけろふの,もゆるはるひの,あさみとり,かすめるそらも,ゆきはふりつつ
あさみとり,かすめるそらは,はるなから,やまかせさむく,ゆきはふりつつ
いつしかと,またるるはなは,さきやらて,はるともみえす,ゆきはふりつつ
はるとたに,またしらゆきの,ふるさとは,あらしそさむき,みよしののやま
みよしのは,なほやまさむし,きさらきの,そらもゆきけの,のこるあらしに
はるのたつ,あとこそみゆれ,あさひかけ,さすやをかへに,きゆるしらゆき
したもえや,まついそくらむ,しらゆきの,あささはをのの,わかなつむなり
しろたへの,そてにわかなを,つみためて,ゆきまのくさの,いろをみるかな
そてのうへに,かつふるゆきを,はらひつつ,つもらぬさきと,わかなつむなり
わかなつむ,そてこそぬるれ,けぬかうへに,ふるののはらの,ゆきまたつねて
いつくとも,のへをはわかす,しらゆきの,きゆるかたより,わかなをそつむ
あたらしき,はるくることに,ふるさとの,かすかののへに,わかなをそつむ
おしなへて,いさはるののに,ましりなむ,わかなつみくる,ひともあふやと
はるのこし,あしたのはらの,やへかすみ,ひをかさねてそ,たちまさりける
みわたせは,かすみそたてる,たかさこの,まつのあらしの,おとはかりして
たかさこの,をのへのまつの,あさかすみ,たなひくみれは,はるはきにけり
はるかすみ,たちにしひより,かつらきや,たかまのやまは,よそにたにみす
はるはまた,かすみにきえて,ときしらぬ,ゆきともみえす,ふしのしはやま
ころもての,たかなみやまの,あさかすみ,たちかさねても,はるはきにける
けふりさへ,かすみそへけり,なにはひと,あしひたくやの,はるのあけほの
のとかなる,はるのひかりに,まつしまや,をしまのあまの,そてやほすらむ
はるはまつ,なひきにけりな,さほひめの,そむるてひきの,あをやきのいと
あさみとり,たまぬきみたる,あをやきの,えたもとををに,はるさめそふる
きえやすき,こすゑのゆきの,ひまことに,うつもれはてぬ,うめかかそする
けぬかうへに,ふるかとそみる,うめかえの,はなにあまきる,はるのあはゆき
ふきまよふ,よそのこすゑの,うめかかに,わかそてにほふ,はるのゆふかせ
かをとめて,とはれやすると,わかやとの,うめのたちえに,はるかせそふく
ことならは,いろをもみせよ,うめのはな,かはかくれなき,よはのはるかせ
なにはえや,ふゆこもりせし,うめかかの,よもにみちくる,はるのしほかせ
うめかかや,まつうつるらむ,かけきよき,たましまかはの,はなのかかみに
わかやとの,うめさきたりと,つけやらは,こてふににたり,ちりぬともよし
わかやとに,さかりにさける,うめのはな,ちるへくなりぬ,みむひともかな
かへるさを,よしやうらみし,はるのかり,さそふるさとの,ひともまつらむ
わかれけむ,こしちのあきの,なこりさへ,おもひしらるる,はるのかりかね
かへるかり,ゆくらむかたを,やまのはの,かすみのよそに,おもひやるかな
おなしくは,そらにかすみの,せきもかな,くもちのかりを,しはしととめむ
かへるさの,みちもやまよふ,ゆふくれの,かすむくもゐに,きゆるかりかね
よしのやま,みねとひこえて,ゆくかりの,つはさにかかる,はなのしらくも
あつさゆみ,はるゆくかりも,まてしはし,はななきさとに,こころひくとも
ゆきとふる,はなをこしちの,そらとみて,しはしはとまれ,はるのかりかね
はるさめの,いろはこしとも,みえなくに,のへのみとりを,いかてそむらむ
のもやまも,おなしみとりに,そめてけり,かすみよりふる,このめはるさめ
いまよりは,またるるはなの,おもかけに,たつたのやまの,みねのしらくも
まつほとに,ひかすはかりは,うつりきて,はなよりさきの,はるそひさしき
さのみやは,またさきやらぬ,はなゆゑに,みまくほしさの,やまちくらさむ
さかぬより,はなはこころに,かかれとも,それかとみゆる,くもたにもなし
はなをまつ,おもかけみゆる,あけほのは,よものこすゑに,かをるしらくも
たれにかは,をりてもみせむ,なかなかに,さくらさきぬと,われにきかすな
ふるあめの,あまねくうるふ,はるなれは,はなさかぬひは,あらしとそおもふ
おとにきく,よしののさくら,みにゆかむ,つけよやまもり,はなのさかりは
さくらはな,またみぬさきに,みよしのの,やまのかひある,みねのしらくも
さくらはな,はやさかりなり,ももしきの,おほみやひとは,いまかさすらし
をとめこか,かつらきやまの,さくらはな,こころにかけて,みぬときそなき
さほひめの,はつはなそめの,そてのいろも,あらはれてさく,やまさくらかな
はなのいろも,ひとつにかすむ,やまのはの,よこくもにほふ,はるのあけほの
やまさくら,けふはさかりに,なりにけり,きのふにまさる,みねのしらくも
やまさくら,くものはたての,はるかせに,あまつそらなる,はなのかそする
やまふかみ,のきはにかかる,しらくもの,やへにかさなる,はなさくらかな
よしのやま,かすみのうへに,ゐるくもや,みねのさくらの,こすゑなるらむ
やまさくら,さくよりそらに,あくかるる,ひとのこころや,みねのしらくも
たつねてそ,はなとしりぬる,はつせやま,かすみのおくに,みゆるしらくも
きみかため,しらぬやまちを,たつねつつ,おいのかさしの,はなをみるかな
たつねける,しらぬやまちの,さくらはな,けふここのへの,かさしとそみる
ゆくさきの,くもはさくらに,あらはれて,こえつるみねの,はなそかすめる
かくはかり,をしとおもふひを,くれぬとて,はなみてかへる,ひとさへそうき
なかしとも,おもはてくれぬ,ゆふひかけ,はなにうつろふ,はるのこころは
