あしひきの,やまのしらゆき,けぬかうへに,はるてふけふは,かすみたなひく
ここのへや,たましくにはに,むらさきの,そてをつらぬる,ちよのはつはる
たちそむる,はるのひかりと,みゆるかな,ほしをつらぬる,くものうへひと
あさひさす,みもすそかはの,はるのそら,のとかなるへき,よのけしきかな
やまのはを,いつるあさひの,かすむより,はるのひかりは,よにみちにけり
かすみたち,こほりもとけぬ,あめつちの,こころもはるを,おしてうくれは
わかこころ,はるにむかへる,ゆふくれの,なかめのすゑも,やまそかすめる
のとかなる,けしきをよもに,おしこめて,かすみそはるの,すかたなりける
なにとなく,こころそとまる,やまのはに,ことしみそむる,みかつきのかけ
みなひとの,てことにひける,まつのはの,はかすをきみか,よはひとはせむ
のへにいてて,けふひきつれは,ときわかぬ,まつのすゑにも,はるはきにけり
けふもなほ,はるともみえす,わかしめし,のへのわかなは,ゆきやつむらむ
めもはるに,ゆきまもあをく,なりにけり,けふこそのへに,わかなつみてめ
はるやまの,さきののすくろ,かきわけて,つめるわかなに,あはゆきそふる
かすかのの,ゆきのむらきえ,かきわけて,たかためつめる,わかななるらむ
いさやこら,わかなつみてむ,ねせりおふる,あささはをのは,さととほくとも
はるくれは,ゆきけのさはに,そてたれて,またうらわかき,わかなをそつむ
あさひやま,のとけきはるの,けしきより,やそうちひとも,わかなつむらし
わかなつむ,いくさとひとの,あとならむ,ゆきまあまたに,のはなりにけり
あまのはら,おほふかすみの,のとけきに,はるなるいろの,こもるなりけり
まつらかた,もろこしかけて,みわたせは,さかひはやへの,かすみなりけり
いせしまや,しほひのかたの,あさなきに,かすみにまかふ,わかのまつはら
ふかくたつ,かすみのうちに,ほのめきて,あさひこもれる,はるのやまのは
いつるひの,うつろふみねは,そらはれて,まつよりしたの,やまそかすめる
ゆふつくひ,かすむすゑのに,ゆくひとの,すけのをかさに,はるかせそふく
ゆふくれの,かすみのきはに,とふとりの,つはさもはるの,いろにのとけき
しつみはつる,いりひのきはに,あらはれぬ,かすめるやまの,なほおくのみね
のとかなる,かすみのそらの,ゆふつくひ,かたふくすゑに,うすきやまのは
なかめこし,おとはのやまも,いまさらに,かすめはとほき,あけほののそら
はつせやま,かたふくつきも,ほのほのと,かすみにもるる,かねのおとかな
こらかてを,まきもくやまに,はるされは,このはしのきて,かすみたなひく
みよしのの,よしののやまの,はるかすみ,たつをみるみる,なほそゆきふる
たまらしと,あらしのつてに,ちるゆきに,かすみかねたる,まきのひとむら
かすみあへす,なほふるゆきに,そらとちて,はるものふかき,うつみひのもと
はるかせに,したゆくなみの,かすみえて,のこるともなき,うすこほりかな
ちくまかは,はるゆくみつは,すみにけり,きえていくかの,みねのしらゆき
はなやゆき,かすみやけふり,ときしらぬ,ふしのたかねに,さゆるはるかせ
はるへとは,おもふものから,かせませに,みゆきちるひは,いともさむけし
あさあらしは,そとものたけに,ふきあれて,やまのかすみも,はるさむきころ
かききゆる,にはにはあとも,みえわかて,くさはにうすき,はるのあはゆき
はるもいまた,あさるききすの,あとみえて,むらむらのこる,のへのしらゆき
ひかけさす,やまのすそのの,はるくさに,かつかつましる,したわらひかな
はるのいろは,やなきのうへに,みえそめて,かすむものから,そらそさむけき
はなとりの,なさけまてをそ,おもひこむる,ゆふやまふかき,はるのかすみに
やまきはに,うくひすなきて,うちなひき,はるとおもへは,ゆきふりしきぬ
うちなひき,はるさりくれは,ささのはに,をはうちふれて,うくひすなくも
つれつれと,くらしわつらふ,はるのひに,なとうくひすの,おとつれもせぬ
うくひすの,なくねをきけは,やまふかみ,われよりさきに,はるはきにけり
きりにむせふ,やまのうくひす,いてやらて,ふもとのはるに,まよふころかな
たかためそ,しつはたやまの,なかきひに,こゑのあやおる,はるのうくひす
うくひすの,こゑものとかに,なきなして,かすむひかけは,くれむともせす
つくつくと,なかきはるひに,うくひすの,おなしねをのみ,ききくらすかな
わかそのを,やととはしめよ,うくひすの,ふるすははるの,くもにつけてき
かすみたつ,のかみのかたに,ゆきしかは,うくひすなきつ,はるになるらし
うめのはな,さけるをかへに,いへゐせは,ともしくもあらし,うくひすのこゑ
うめのはな,ちらまくをしみ,わかそのの,たけのはやしに,うくひすなくも
ささたけの,よはにやきつる,ねやちかき,あさけのまとに,うくひすのなく
あけぬれと,おのかねくらを,いてやらて,たけのはかくれ,うくひすそなく
のとかなる,かすみのいろに,はるみえて,なひくやなきに,うくひすのこゑ
はるのいろは,はなともいはし,かすみより,こほれてにほふ,うくひすのこゑ
はなならて,みにしむものは,うくひすの,かをらぬこゑの,にほひなりけり
うめのはな,にほふはるへの,あさとあけに,いつしかききつ,うくひすのこゑ
みちのへや,たけふくかせの,さむけきに,はるをませたる,うめかかそする
うめのはな,さくとしらすや,みよしのの,やまにともまつ,ゆきのみゆらむ
ゆきのいろを,うはひてさける,うめのはな,いまさかりなり,みむひともかな
やまもとの,さとのつつきに,さくうめの,ひとへによこそ,はるになりぬれ
きさらきや,なほかせさむき,そてのうへに,ゆきませにちる,うめのはつはな
さきそめて,はるをおそしと,まちけらし,ゆきのうちより,にほふうめかえ
ふりつみし,ゆきもけなくに,みやまへも,はるしきぬれや,うめさきにけり
ひとむらの,かすみのそこに,にほひゆく,うめのこすゑの,はなになるころ
うめかえに,まつさくはなそ,はるのいろを,みにしめそむる,はしめなりける
はるたちて,さかはとおもひし,うめのはな,めつらしみにや,ひとのをるらむ
うめのはな,にほひをとめて,をりつるに,いろさへそてに,うつりぬるかな
やまかくれ,にほへるはなの,いろよりも,をりけるひとの,こころをそみる
くれなゐの,うめかえになく,うくひすは,こゑのいろさへ,ことにそありける
さきぬれは,おほみやひとも,うちむれぬ,うめこそはるの,にほひなりけれ
ももちとり,さへつるはるの,あさみとり,のへのかすみに,にほふうめかえ
いもかため,ほつえのうめを,たをるとて,しつえのつゆに,ぬれにけるかも
ひとことに,をりかさしつつ,あそへとも,いやめつらしき,うめのはなかも
かすめとも,かくれぬものは,うめのはな,かせにあまれる,にほひなりけり
うめのはな,にほふさかりは,やまかつの,しつのかきねも,なつかしきかな
にほふかの,しるへならすは,うめのはな,くらふのやまに,をりまとはまし
くもちゆく,かりのはかせも,にほふらむ,うめさくやまの,ありあけのそら
うめかかは,まくらにみちて,うくひすの,こゑよりあくる,まとのしののめ
まとあけて,つきのかけしく,たまくらに,うめかかあまる,のきのはるかせ
のきのうめは,たまくらちかく,にほふなり,まとのひまもる,よはのあらしに
たかさとそ,かすみのしたの,うめやなき,おのれいろなる,をちかたのはる
あめはるる,かせはをりをり,ふきいれて,こすのまにほふ,のきのうめかえ
わかなかめ,なににゆつりて,うめのはな,さくらもまたて,ちらむとすらむ
みるままに,しつえのうめも,ちりはてぬ,さもまちとほに,さくさくらかな
みとりこき,かすみのしたの,やまのはに,うすきやなきの,いろそこもれる
はるさめに,めくむやなきの,あさみとり,かつみるうちも,いろそそひゆく
いつはとも,こころにときは,わかなくに,をちのやなきの,はるになるいろ
ひとかたに,ふきつるかせや,よわるらむ,なひきもはてぬ,あをやきのいと
かすみわたる,おのかやなきの,ひともとに,のとかにすさふ,はるのゆふかせ
ふくとなき,かせにやなきは,なひきたちて,をちこちかすむ,ゆふくれのはる
はつかなる,やなきのいとの,あさみとり,みたれぬほとの,はるかせそふく
ふねつなく,かけもみとりに,なりにけり,むつたのよとの,たまのをやなき
ひろさはの,いけのつつみの,やなきかけ,みとりもふかく,はるさめそふる
よしのかは,いはなみはらふ,ふしやなき,はやくそはるの,いろはみえける
はるはまつ,なひくやなきの,すかたより,かせものとけく,みゆるなりけり
あめそそく,やなきかすゑは,のとかにて,をちのかすみの,いろそくれゆく
このさとの,むかひのむらの,かきねより,ゆふひをそむる,たまのをやなき
くりかへし,としへてみれと,あをやきの,いとはふりせぬ,みとりなりけり
きしのうへの,やなきはいたく,おいにけり,いくよのはるを,すくしきぬらむ
ももしきの,おほみやひとの,かさしたる,したりやなきは,みれとあかぬかも
うめのはな,さきたるそのの,あをやきは,かつらにすへく,なりにけらしも
よるひとも,なきあをやきの,いとなれは,ふきくるかせに,かつみたれつつ
あさみとり,やなきのいとの,うちはへて,けふもしきしき,はるさめそふる
きのふけふ,よはのとかにて,ふるあめに,やなきかえたそ,したりまされる
はるのいろを,もよほすあめの,ふるなへに,かれののくさも,しためくむなり
あさみとり,はつしほそむる,はるさめに,のなるくさきそ,いろまさりける
かきくれて,ふりたにまされ,つくつくと,しつくさひしき,のきのはるさめ
みるままに,のきのしつくは,まされとも,おとにはたてぬ,にはのはるさめ
はるさめは,のきのいとみつ,つくつくと,こころほそくて,ひをもふるかな
はるさめよ,このはみたれし,むらしくれ,それはまきるる,かたもありけり
さひしさは,はなよいつかの,なかめして,かすみにくるる,はるさめのそら
なかめやる,やまはかすみて,ゆふくれの,のきはのそらに,そそくはるさめ
かすみくるる,そらものとけき,はるさめに,とほきいりあひの,こゑそさひしき
はれゆくか,くもとかすみの,ひまみえて,あめふきはらふ,はるのゆふかせ
はるかせは,やなきのいとを,ふきみたし,にはよりはるる,ゆふくれのあめ
うちわたす,うちのわたりの,よふかきに,かはおとすみて,つきそかすめる
かせになひく,やなきのかけも,そことなく,かすみふけゆく,はるのよのつき
なにとなく,にはのこすゑは,かすみふけて,いるかたはるる,やまのはのつき
ねやまても,はなのかふかき,はるのよの,まとにかすめる,いりかたのつき
かりひとの,あさふむをのの,くさわかみ,かくろへかねて,ききすなくなり
