はるやたつ,ゆきけのくもは,まきもくの,ひはらにかすみ,たなひきにけり
きえあへぬ,いつのゆきまに,はるのきて,よしののやまの,まつかすむらむ
あしひきの,やまのしらゆき,きえもあへす,きのふをこそと,かすむそらかな
またきえぬ,たかねのみゆき,はるかけて,かすみにけりな,かつらきのやま
いとはやも,はるきにけらし,あまのはら,ふりさけみれは,かすみたなひく
あしひきの,やまはかすめと,いつるひの,かけもくもらて,はるはきにけり
はるくれは,かすみのいろに,そめてけり,よしののやまの,たきのしらいと
はるきぬと,みかきかはらは,かすめとも,なほゆきさゆる,みよしののやま
かすかのの,ゆきまのくさの,すりころも,かすみのみたれ,はるかせそふく
うちなひき,さとこそかすめ,をちこちの,あさけのけふり,はるやたつらむ
はるのくる,かたたのうらの,あさなきに,みるめもしらす,たつかすみかな
こくふねも,なみのいつくに,まよふらむ,かすみのおくの,しほかまのうら
たまもかる,かたやいつくそ,かすみたつ,あさかのうらの,はるのあけほの
わたのはら,かすみもいくへ,たつなみの,ゆたのたゆたに,うらかせそふく
いさりする,よさのあまひと,いてぬらし,うらかせゆるく,かすみわたれり
にほてるや,しかのうらかせ,はるかけて,ささなみなから,たつかすみかな
しかのうらや,はままつかえの,はるのいろを,そらにふかめて,たつかすみかな
いつしかと,すゑのまつやま,かすめるは,なみとともにや,はるのこゆらむ
ねのひする,いつくはあれと,かめのをの,いはねのまつを,ためしにそひく
ここのへの,かすみのうちに,ひくまつは,けふをやちよの,ためしにもせむ
ねのひして,ふたはのまつの,ちよなから,きみかやとにも,うつしつるかな
くれたけの,よよにつたへて,うくひすの,たかきにうつる,こゑそなれぬる
なれもまた,たによりいてて,きみかよに,あへるをときと,うくひすそなく
うくひすの,こゑのいろにや,あさみとり,かすめるそらも,のとけかるらむ
あさなあさな,おのれなきてや,うくひすの,としたちかへる,はるをしるらむ
はなさかぬ,ときはのやまの,うくひすは,かすみをみてや,はるをしるらむ
おほつかな,いつこなるらむ,はなさかぬ,かすみのうちの,うくひすのこゑ
うくひすの,おのかなくねは,はるなれと,ねくらのたけを,うつむしらゆき
はるはまつ,わかなつまむと,しめおきし,のへともみえす,ゆきのふれれは
ふめはをし,かたののわかな,ゆきふかみ,ききすのあとを,たつねてそつむ
ふみわけて,のさはのわかな,けふつまむ,ゆきまをまたは,ひかすへぬへし
はるあさき,ゆきけのみつに,そてぬれて,さはたのわかな,けふそつみつる
いつしかと,のへにこころの,あくかるる,はるのならひと,わかなつむなり
きのふこそ,やくとはみしか,かすかのに,いつしかけふは,わかなつみつつ
あかねさす,ひるはたゆたひ,うはたまの,よるのいとまに,つめるねせりそ
あめつゆの,めくみかはらて,かすかのに,おほくのはるの,わかなつみつる
ふゆかれの,しののをすすき,うちなひき,わかなつむのに,はるかせそふく
