あけわたる,そらにしられて,ひさかたの,いはとのせきを,はるやこゆらむ
あまのとの,あくるをみれは,はるはけふ,かすみとともに,たつにそありける
いつしかと,とやまのかすみ,たちかへり,けふあらたまる,はるのあけほの
うくひすの,さへつるけさの,はつねより,あらたまりける,はるそしらるる
はるたつと,ひかけもそらに,しられけり,かすみそめたる,みよしののやま
たつひより,はなとみよとて,よしのやま,ゆきのこすゑに,はるやきぬらむ
やまさとは,つもれるゆきの,いつしかと,きえぬややかて,はるのはつはな
たにのとは,ゆきもこほりも,とけやらす,やまかけさむき,はるのあらしに
ときしもあれ,みねのかすみは,たなひけと,なほやまさむし,ゆきのむらきえ
はるのきる,かすみのころも,なほさむみ,もとのゆきけの,くもそたちそふ
はるはまた,はつせのひはら,かすめとも,のこるゆきけに,さゆるやまかせ
あしひきの,やまはかすみの,あさみとり,はるともしらす,さゆるそらかな
みよしのの,やまのしらゆき,きえぬまに,ふるさとかけて,たつかすみかな
みよしのの,たきのしらいと,はるくれは,あはにとけゆく,うすこほりかな
はるのくる,あさけのかせの,おとはかは,たきついはねも,こほりとくらし
はるかせに,のさはのこほり,かつきえて,ふれとたまらぬ,みつのあはゆき
そらにのみ,ちりてみたるる,あはゆきの,きえすははなに,まかひはてまし
はるたちて,かせやふきとく,けふみれは,たきのみをより,はなそちりける
ふくかせに,さきてはちれと,うくひすの,しらぬはなみの,はなにやあるらむ
こほりとく,かせのおとにや,ふるすなる,たにのうくひす,はるをしるらむ
たにちかき,やとにきなくや,うくひすの,さとなれそむる,はしめなるらむ
うくひすの,たにのといてし,あしたより,とやまのかすみ,たたぬひもなし
けさみれは,みねにかすみは,たちにけり,たにのしたみつ,いまやもるらむ
あさまたき,やまのかすみを,みわたせは,よをさへこめて,たちにけるかな
あさひかけ,またいてやらぬ,あしひきの,やまはかすみの,いろそうつろふ
はるのたつ,しるしはかりは,かすめとも,なほゆききえぬ,みわのすきむら
ふしのねの,ゆきにははるも,しられぬを,けふりやそらに,かすみそむらむ
ゆきもふり,かすみもたてる,よしのやま,いつかたをかは,はるとたのまむ
あつさゆみ,はるになるらし,かすかやま,かすみたなひき,みやこはるけし
いそのかみ,ふるのやしろの,はるのいろに,かすみたなひく,たかまとのやま
かすかのの,かすみのころも,やまかせに,しのふもちすり,みたれてそゆく
はしひめの,そてのあさしも,なほさえて,かすみふきこす,うちのかはかせ
たましまの,このかはかみも,しらなみの,しらすかすめる,ゆふくれのそら
ゆきかへり,みつのをかはを,さすさをの,みなれしあとも,かすむはるかな
みるめなき,ならひしられて,はるはなほ,かすみにたとる,しかのうらなみ
しかのうみの,しらゆふはなの,なみのうへに,かすみをわけて,うらかせそふく
もしほやく,けふりもなみも,うつもれて,かすみのみたつ,はるのあけほの
あかしかた,はるこくふねの,しまかくれ,かすみにきゆる,あとのしらなみ
はるくれは,きしうつなみは,のとかにて,かすみかかれる,すみよしのまつ
いにしへの,ねのひのみゆき,あとしあれは,ふりぬるまつや,きみをまつらむ
やまのかひ,かすみわたれる,あしたより,わかなつむへき,のへをまつらし
かすみたつ,あしたのはらの,ゆききえて,わかなつむらし,はるのさとひと
しろたへの,そてもまかはす,ゆききえて,わかなつむのは,はるめきにけり
かすかのは,はるめきにけり,しらゆきの,きえすはありとも,わかなつみてむ
よをこめて,わかなつみにと,いそくまに,はるかにすきぬ,をきのやけはら
いつかたに,わかなつむらむ,あしひきの,やまさはみつは,なほこほりつつ
たちかへり,またきさらきの,そらさえて,あまきるゆきに,かすむやまのは
たちかへり,なほはるさむし,たにかけや,うちいてしなみの,またこほるまて
うめかかに,ゆくてのそても,うつるまて,やまわけころも,はるかせそふく
ひとりぬる,くさのまくらの,うつりかは,かきねのうめの,にほひなりけり
たちよりて,うめのにほひを,かりころも,そてにうつさむ,ひとなとかめそ
つれなくて,うめのたちえを,すきにしを,おもひのほかの,ここちこそすれ
はるかせの,にほふかたにや,たとるらむ,うめさくやとを,とふひともなし
このころは,さけるさかさる,おしなへて,うめかかならぬ,はるかせもなし
うめかかは,ねさめのとこに,にほひきて,まとにかたふく,はるのよのつき
ふるさとの,のきはのうめよ,いくはるの,こころをそむる,つまとなりけむ
うきよには,よしなきうめの,にほひかな,いろにこころは,そめしとおもふに
かをたにも,あくことかたき,うめのはな,いかにせよとか,いろのそふらむ
うめのはな,かたにのこらす,ちりにけり,うらみてなとか,をしまさりけむ
はるさめも,ふりかはりゆく,あさはのに,たつみわこすけ,いろもつれなし
いたつらに,ふりぬとおもひし,はるさめの,めくみあまねき,みよにあひつつ
はるさめの,なこりのつゆの,たまかつら,みたれてむすふ,あをやきのいと
あさみとり,まついろまさる,あをやきの,いとよりはるは,くるにやあるらむ
うちなひき,はるさりくれは,みちのへに,そめてみたるる,あをやきのいと
さほひめの,かすみのそては,あをやきの,いともておれる,ころもなるらし
いけみつに,なみはひまなく,あらへとも,やなきのいとは,ほすひともなし
はるかせに,いけのこほりの,とけしより,むすひかへたる,あをやきのいと
あさみとり,のへのあをやき,いててみむ,いとをふきくる,かせはありやと
はるかすみ,たなひくかたの,ゆふつくよ,きよくてるらむ,たかまとのやま
かすむよの,つきのかつらも,このまより,ひかりをはなと,うつろひにけり
あまのはら,ふけゆくそらを,なかむれは,かすみてすめる,はるのよのつき
かすむよは,ゆふゐるくもの,いつくとも,やまのはしらて,つきそまたるる
はるのよの,おほろつきよに,かへるかり,たのむもとほき,あききりのそら
いつくとも,みえこそわかね,かりかねの,きこゆるそらや,なほかすむらむ
うらとほく,ひかけのこれる,ゆふなきに,なみまかすみて,かへるかりかね
おほよとの,うらよりをちに,ゆくかりも,ひとつにかすむ,あまのつりふね
みつくきの,をかのみなとの,なみのうへに,かすかきすてて,かへるかりかね
やまこゆる,かりのはかせに,あめはれて,くもさへかへる,あけほののそら
われはいさ,なれもしらしな,はるのかり,かへりあふへき,あきのたのみは
なににかは,こころもとめむ,はなをたに,みすててかへる,はるのかりかね
たちかへる,くものかよひち,よそなから,したふもしらし,はるのかりかね
おもひたつ,くものかよひち,とほからし,あかつきふかく,かへるかりかね
はるきても,つれなきはなの,ふゆこもり,またしとおもへは,みねのしらくも
おもかけに,こひつつまちし,さくらはな,さけはたちそふ,みねのしらくも
やまさくら,さきやらぬまは,くれことに,またてそみける,はるのよのつき
くもとのみ,みるたにあるを,やまさくら,いかにかすみの,たちへたつらむ
あけわたる,かすみのをちは,ほのかにて,のきのさくらに,かせかをるなり
まかひこし,くもをはよそに,ふきなして,みねのさくらに,にほふはるかせ
いりあひの,おとはかすみに,うつもれて,くもこそかをれ,をはつせのやま
さのみやは,あさゐるくもの,はれさらむ,をのへのさくら,さかりなるらし
いまそしる,くもにまかひし,はなのいろは,やまのはとほき,よそめなりけり
たかさこの,をのへのくもの,いろそへて,はなにかさなる,やまさくらかな
をちこちの,さくらはくもに,うつもれて,かせのみはなの,かににほひつつ
やまかせの,かすみのころも,ふきかへし,うらめつらしき,はなのいろかな
かすみたつ,みねのさくらの,あさほらけ,くれなゐくくる,あまのかはなみ
